Year,Title,Length,Director,Genre,Country,Screenings,Admissions,Gross Box Office
2008,O Tesouro: Livro Dos Segredos,LM,Jon Turteltaub,"Thriller, Aventura, Acção",US,4707,122818,"529010,50"
2008,O Testamento do Senhor Napumoceno,LM,Francisco Manso,Drama,"PT, FR, BR, BE, CV",2,36,"72,00"
2008,O Último Tango em Paris,LM,Bernardo Bertolucci,"Drama, Romance","FR, IT",2,136,"451,50"
2008,O Vento Levar-nos-á,LM,Abbas Kiarostami,Drama,"FR, IR",2,48,"117,00"
2008,O Véu Pintado,LM,John Curran,"Drama, Romance","US, CA, CN",3,163,"353,75"
2008,O Vôo do Balão Vermelho,LM,Hsiao-Hsien Hou,Drama,"FR, TW",107,1681,"6201,35"
2008,Obsessão Mortal,LM,"Niels Mueller, Wai-Keung Lau","Drama, Thriller, Policial",US,1440,19527,"81854,32"
2008,Ocean's 13,LM,Steven Soderbergh,"Thriller, Policial",US,7,301,"73,00"
2008,Odete,LM,João Pedro Rodrigues,Drama,PT,1,24,"0,00"
2008,Odette Toulemonde - Lições De Felicidade,LM,Eric-Emmanuel Schmitt,"Drama, Comédia","FR, BE",8,90,"272,50"
2008,Olhar o Cinema Português: 1896-2006,CM,Manuel Mozos,Biografia,PT,1,11,"24,00"
2008,Olhos de Lince,LM,D. J. Caruso,"Thriller, Acção","US, DE",6284,150912,"646907,93"
2008,Ondas de Paixão,LM,Lars von Trier,"Drama, Romance","FR, NL, ES, SE, DK, IS, NO",2,58,"86,50"
2008,Ondas Invisíveis,LM,Pen-Ek Ratanaruang,"Drama, Thriller","NL, TH",1,1,"2,00"
2008,One Minutes Pt Workshop 2008,Mista,N/D,N/D,PT,1,76,"27,00"
2008,Os Amantes Regulares,LM,Philippe Garrel,"Drama, Romance",FR,4,61,"199,50"
2008,Os Amores de Astrea e Celadon,LM,Éric Rohmer,"Drama, Romance","FR, IT, ES",403,6995,"32236,80"
2008,Os Amores de uma Loira,LM,Milos Forman,"Drama, Romance, Comédia",CZ,1,71,"0,00"
2008,Os Bórgia,LM,Antonio Hernández,"Drama, Biografia",ES,487,4792,"19992,20"
2008,Os Contos de Canterbury,LM,Pier Paolo Pasolini,"Drama, Comédia","FR, IT",4,104,"300,50"
2008,Os Coristas,LM,Christophe Barratier,"Drama, Musical","FR, DE, CH",1,45,"0,00"
2008,Os Falsificadores,LM,Stefan Ruzowitzky,"Drama, Guerra","DE, AT",506,10694,"45887,13"
2008,Os Fantasmas De Goya,LM,Milos Forman,"Biografia, Guerra","US, ES",9,343,"496,00"
2008,Os Filhos do Homem,LM,Alfonso Cuarón,"Drama, Aventura, Ficção Científica","US, GB",1,14,"44,80"
2008,Os Fragmentos de Tracey,LM,Bruce Macdonald,Drama,CA,118,1165,"4531,40"
2008,Os Habitantes,CM,Artavazd Peleshian,Drama,SU,1,36,"0,00"
2008,Os Idiotas,LM,Lars von Trier,"Drama, Comédia","FR, IT, NL, ES, SE, DK",6,118,"336,00"
2008,Os Irmãos Grimm,LM,Terry Gilliam,"Comédia, Aventura, Acção","US, CZ",1,27,"33,00"
2008,Os Reis da Rua,LM,David Ayer,"Acção, Policial",US,3185,38083,"158607,83"
2008,Os Robinsons,LM,Stephen J. Anderson,"Comédia, Aventura, Ficção Científica",US,2,30,"74,50"
